Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/23  06:00:00,1.08152349001019,0.653499556294599,0.000000000000000E+000,0.000000000000000E+000,0.372472282123687,0.129451455986126,0.501923738109814,0.129451455986126,8.704756486667618E-002,1.785430533523284E-002,0.135831851626414,0.323791018012060,0.631195265157086 
 08/23  07:00:00,1.26427771062963,0.718135852842617,0.000000000000000E+000,0.000000000000000E+000,0.359595693511514,0.121773491110024,0.481369184621537,0.121773491110024,0.153083600405012,3.139895452454353E-002,0.209298719283835,0.344052215734702,0.694435872425101 
 08/23  08:00:00,1.20909397081941,0.693191599304952,0.000000000000000E+000,0.000000000000000E+000,0.367528401466247,0.121019021796680,0.488547423262929,0.121019021796680,0.120065615884776,2.462662992988818E-002,0.269903014330297,0.290876275351520,0.673154634813880 
 08/23  09:00:00,1.23632723511321,0.632960781852356,0.000000000000000E+000,0.000000000000000E+000,0.434829654446101,0.135662443553362,0.570492097999461,0.135662443553362,6.003279464281535E-002,1.231331632888018E-002,0.330854782137564,0.247559231944487,0.615907704787497 
 08/23  10:00:00,1.64058013517148,0.568204525923999,0.000000000000000E+000,0.000000000000000E+000,0.747488078613368,0.219989222793973,0.967477301407341,0.219989222793973,4.802623305433765E-002,9.850653335891362E-003,0.346769520115789,0.253381415198121,0.550750388721206 
 08/23  11:00:00,1.81772890367324,0.511752425034957,0.000000000000000E+000,0.000000000000000E+000,0.884379919040114,0.245868661413591,1.13024858045370,0.245868661413591,4.802623305433765E-002,9.850653335891362E-003,0.361069380461137,0.253459044308169,0.494292940363661 
 08/23  12:00:00,2.05716461714813,0.467453269780731,0.000000000000000E+000,0.000000000000000E+000,1.09166671330999,0.292829180805957,1.38449589411595,0.292829180805957,4.802623305433765E-002,9.850653335891362E-003,0.350527381326447,0.249189443255505,0.450287895877251 
 08/23  13:00:00,2.36087107928735,0.443482365198528,0.000000000000000E+000,0.000000000000000E+000,1.35820389079725,0.352463590019163,1.71066748081642,0.352463590019163,4.802623305433765E-002,9.850653335891362E-003,0.319445425549819,0.257806274470882,0.425723422290907 
 08/23  14:00:00,2.74574007435814,0.418851852676245,0.000000000000000E+000,0.000000000000000E+000,1.68386098280532,0.421972693430426,2.10583367623574,0.421972693430426,4.802623305433765E-002,9.850653335891362E-003,0.294631581622230,0.272322918049941,0.400092933158046 
 08/23  15:00:00,3.11643398578636,0.424038524115898,0.000000000000000E+000,0.000000000000000E+000,1.96629870611198,0.488177802631805,2.45447650874379,0.488177802631805,4.802623305433765E-002,9.850653335891362E-003,0.301544984082964,0.287460594509386,0.404236848239078 
