Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 06/06  07:00:00,0.873343689370826,3.86291225732656,0.000000000000000E+000,2.67680244948356,0.000000000000000E+000,8.271585666263682E-002,8.271585666263682E-002,8.271585666263682E-002,0.141866023813768,3.090899202867384E-002,0.208909549344490,0.376831241831655,1.16015453342771 
 06/06  08:00:00,0.811244246789678,3.65774464437735,0.000000000000000E+000,2.50813304903812,0.000000000000000E+000,7.748492126613214E-002,7.748492126613214E-002,7.748492126613214E-002,0.105574748444651,2.300204777987350E-002,0.269481467066278,0.318589048543143,1.12766791004271 
 06/06  09:00:00,0.756880880100897,3.18187059780908,0.000000000000000E+000,2.13445781457153,0.000000000000000E+000,6.588567775410503E-002,6.588567775410503E-002,6.588567775410503E-002,5.938579704502768E-002,1.293865028256194E-002,0.330413698414181,0.271145042915422,1.02873693258088 
 06/06  10:00:00,0.764107955160786,2.83583948181099,0.000000000000000E+000,1.90508445510399,0.000000000000000E+000,5.880526961149138E-002,5.880526961149138E-002,5.880526961149138E-002,5.278737422232559E-002,1.150102206866029E-002,0.346380350176442,0.277521925392267,0.911639950964330 
 06/06  11:00:00,0.752856202488886,2.03649536309828,0.000000000000000E+000,1.21031313892802,0.000000000000000E+000,3.725150156138769E-002,3.725150156138769E-002,3.725150156138769E-002,4.948816281097469E-002,1.078220978298593E-002,0.360615364151980,0.277606950491958,0.807061292093106 
 06/06  12:00:00,0.722517521947794,1.46747422613910,0.000000000000000E+000,0.722626471979537,0.000000000000000E+000,2.219604700781768E-002,2.219604700781768E-002,2.219604700781768E-002,4.948816281097469E-002,1.078220978298593E-002,0.350008518647474,0.272930570008939,0.726048920478808 
 06/06  13:00:00,0.688245178772289,1.00687214387779,0.000000000000000E+000,0.309229688876995,0.000000000000000E+000,9.470558128261470E-003,9.470558128261470E-003,9.470558128261470E-003,4.948816281097469E-002,1.078220978298593E-002,0.319023878285798,0.282368356074668,0.678193568192765 
 06/06  14:00:00,0.669879915097603,0.650945693627966,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.948816281097469E-002,1.078220978298593E-002,0.294229479097109,0.298268049716935,0.630401672272176 
 06/06  15:00:00,0.697274475541306,0.659102471881506,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,5.278737422232559E-002,1.150102206866029E-002,0.301026121403993,0.314847944156729,0.637416465302117 
 06/06  16:00:00,0.796427565451873,0.721168733875639,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,5.278737422232559E-002,1.150102206866029E-002,0.342617218823578,0.372409936647711,0.695517988853302 
 06/06  17:00:00,0.968838852951159,0.850889039743962,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.598421150843892E-002,1.437627849646360E-002,0.418947793799472,0.452418555457185,0.819727483975957 
 06/06  18:00:00,1.04896284021680,0.968346305071146,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.105574748444651,2.300204777987350E-002,0.382084005386279,0.491190000916397,0.934514260780269 
 06/06  19:00:00,1.08796679217883,0.988885277436711,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.204551090785182,4.456647098839826E-002,0.314732547256681,0.507004669458972,0.953963954932556 
 06/06  20:00:00,1.27522729117563,1.11445782684576,0.000000000000000E+000,0.192027956051426,0.000000000000000E+000,5.872479048033674E-003,5.872479048033674E-003,5.872479048033674E-003,0.366212416504218,7.978833673111832E-002,0.281807230306979,0.524434814895680,0.886307999721783 
 06/06  21:00:00,1.45915981383041,1.35698798739210,0.000000000000000E+000,0.518411744860400,0.000000000000000E+000,1.595969506674487E-002,1.595969506674487E-002,1.595969506674487E-002,0.531172903478863,0.115729042078660,0.266994958976403,0.512191200540138,0.803297683624266 
 06/06  22:00:00,1.25312370942832,1.79586191089598,0.000000000000000E+000,1.09440108510884,0.000000000000000E+000,3.387094385350674E-002,3.387094385350674E-002,3.387094385350674E-002,0.445393456939481,9.703988622559687E-002,0.216471564029606,0.443235844690528,0.670931754142974 
 06/06  23:00:00,0.979696748001424,2.25663148560601,0.000000000000000E+000,1.70251885387890,0.000000000000000E+000,5.277751063100834E-002,5.277751063100834E-002,5.277751063100834E-002,0.310125839229834,6.756850055550720E-002,0.146949182294076,0.385163701601401,0.527583436532775 
 06/06  24:00:00,0.696854642705390,2.66754423459750,0.000000000000000E+000,2.27013667396401,0.000000000000000E+000,7.037230658371578E-002,7.037230658371578E-002,7.037230658371578E-002,0.158362080870523,3.450306256342797E-002,9.791613045497836E-002,0.318589048543143,0.375463875336979 
 06/07  01:00:00,0.591609665829665,2.94422586725175,0.000000000000000E+000,2.61853504925399,0.000000000000000E+000,8.114591595303888E-002,8.114591595303888E-002,8.114591595303888E-002,9.567709749201676E-002,2.084560181646811E-002,8.349244294370009E-002,0.293336593934840,0.305486464041798 
 06/07  02:00:00,0.543652468075524,3.16765531153950,0.000000000000000E+000,2.86167022699182,0.000000000000000E+000,8.857777564279243E-002,8.857777564279243E-002,8.857777564279243E-002,6.268500009708801E-002,1.365746438951277E-002,7.168462430934135E-002,0.289935589947189,0.286014983970907 
 06/07  03:00:00,0.541726429487733,3.48495873246703,0.000000000000000E+000,3.17455850187671,0.000000000000000E+000,9.822241425926521E-002,9.822241425926521E-002,9.822241425926521E-002,6.268500009708801E-002,1.365746438951277E-002,6.419515189025571E-002,0.285854385162011,0.290711234068604 
 06/07  04:00:00,0.544016377119731,3.66064536234228,0.000000000000000E+000,3.29633673976075,0.000000000000000E+000,0.101969655065374,0.101969655065374,0.101969655065374,6.268500009708801E-002,1.365746438951277E-002,7.353604637693699E-002,0.275056197501220,0.345363380538795 
 06/07  05:00:00,0.597423154199877,4.08659309714545,0.000000000000000E+000,3.48030630364298,0.000000000000000E+000,0.107646837033776,0.107646837033776,0.107646837033776,6.598421150843892E-002,1.437627849646360E-002,8.536320358615601E-002,0.306940609885441,0.585145426029711 
